ef,sku,nombre_comercial,forma,costo_usd,precio_usd
E.F.G.36.318,ME36318,BROMHEXINA CLORHIDRATO 8 mg/5ml JARABE,JARABE,4.57,7.62
E.F.36.328,ME36328,IPORET 40 mg / mL SUSPENSION ORAL GOTAS,SOLUCION ORAL,4.72,7.87
E.F.G.36.355,ME36355,KETOROLAC 10 mg COMPRIMIDOS,COMPRIMIDOS,3.56,5.93
E.F.G.36.523,ME36523,SIMVASTATINA 20 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,4.93,8.22
E.F.G.36.574,ME36574,"TOBRAMICINA 0,3 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,4.4,7.33
E.F.G.36.608,ME36608,CETIRIZINA CLORHIDRATO 10 mg / mL SOLUCION ORAL GOTAS,SOLUCION ORAL,2.76,4.60
E.F.G.36.805,ME36805,"CARVEDILOL 6,25 mg COMPRIMIDOS",COMPRIMIDOS,2.49,4.15
E.F.36.834,ME36834,"CROMUS 0,1 % UNGUENTO",UNGUENTO,43.04,71.73
E.F.G.36.838,ME36838,CARBAMAZEPINA 200 mg COMPRIMIDOS RECUBIERTOS DE LIBERACION CONTROLADA,COMPRIMIDOS,6.14,10.23
E.F.G.36.877,ME36877,TERBINAFINA CLORHIDRATO 1 % CREMA TOPICA,CREMA,3.99,6.65
E.F.G.36.885,ME36885,CLOPIDOGREL 75 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,3.69,6.15
E.F.G.36.892,ME36892,"CARVEDILOL 6,25 mg COMPRIMIDOS",COMPRIMIDOS,3.41,5.68
E.F.G.36.979,ME36979,"LOSARTAN POTASICO - HIDROCLOROTIAZIDA 50 mg - 12,5 mg COMPRIMIDOS RECU",COMPRIMIDOS,2.39,3.98
E.F.G.36.998,ME36998,"DESLORATADINA 2,5 mg / 5 mL JARABE",JARABE,6.04,10.07
E.F.37.032,ME37032,PREDNA 15 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,9.17,15.28
E.F.G.37.062,ME37062,METRONIDAZOL 500 mg COMPRIMIDOS,COMPRIMIDOS,4.78,7.97
E.F.37.124,ME37124,"DERMACORTINE 0,1 % CREMA",CREMA,8.97,14.95
E.F.37.137,ME37137,VIROSUPRIL 5 % CREMA,CREMA,31.82,53.03
E.F.37.217,ME37217,CETRAL D 5 mg - 60 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,4.64,7.73
E.F.37.251,ME37251,FARBICIL 1 % CREMA,CREMA,7.66,12.77
E.F.37.253,ME37253,PULMOLET 1 mg / mL SUSPENSION PARA NEBULIZAR,SUSPENSION ORAL,8.89,14.82
