descripcion,costo_usd,ef,pa_drovencentro,score
MAXOTEN COMP REC 25MG X30 LETI,32.00,E.F.42.290,EPLERENONA  25MG 30COMP REC,0.000
MELIF COMP REC 50MG/500MG X30 ELM,15.43,E.F.44.574,SITAGLIPTINA 50MG + METFORMINA 500MG,0.000
MELOVAX CAP BLD 15MG X10 VIV,5.66,E.F.G.33.048,MELOXICAN 15MG,0.000
METREN CAP BLD VAG 500MG X10 MEY,11.08,E.F.29.532,METRONIDAZOL 500MG 10 OVULOS,0.000
MICONAX CREM VAG 40G MEY,13.18,E.F.40.057,METRONIDAZOL MICONAZOL,0.000
"MIRSOL CREM 0,05% 15G BIOT",7.36,E.F.43.809,CLOBETASOL PROPIONATO,0.000
MOVIMEX TAB 15MG X10 L.O,8.29,E.F.35.996,MELOXICAM 15MG,0.000
MUCOMAX JBE AD 30MG/5ML 120ML KIMIC,3.27,E.F.G.29.181,AMBROXOL 30MG/5ML,0.000
MUCOMAX JBE PED 15MG/5ML 120ML KIMIC,3.75,E.F.40.502,AMBROXOL 15MG/5ML,0.000
MUCOMAX PLUS SOL ORAL AD 30/5MG60ML KIMI,4.25,E.F.G.40.440,LORATADINA/CLORHIDRATO AMBROXOL  5MG/30MG/5ML,0.000
MUPROBAN UNG 2% 15G MEY,8.25,E.F.G.35.710,MUPIROCIN 2%,0.000
MUPROBAN UNG 2% 30G MEY,13.12,E.F.G.35.710,MUPIROCIN 2%,0.000
MYCOFENTIN CREM TOPICA 2% 20G ELM,3.45,E.F.28.565,FENTICONAZOL 2% 20GR,0.000
MYCOFENTIN CREM VAG 2% 40G ELM,7.06,E.F.28.565,FENTICONAZOL 2% 40CR,0.000
NEFROTAL COMP REC 100MG X10 MEG,2.86,E.F.35.488,LOSARTAN POTASICO 100MG 10COMP,0.000
NEFROTAL COMP REC 100MG X14 MEG,4.73,E.F.35.488,LOSARTAN POTASICO 100MG 10COMP,0.000
"NEFROTAL H COMP REC 100MG/12,5 X30 MEG",11.88,E.F.35.488,LOSARTAN POTASICO 100MG 10COMP,0.000
