descripcion_cobeca,codigo,codigo_barras,costo_usd,motivo
BETADINE JAB 180ML FAR,16973,7591821210820,14.3,score_bajo
"BETAGEMER CREM 0,1%/0,1% 20G BOOZ",18945,7597072000289,4.52,sin_candidato
"BETAME/GENTA/CLOTR CREM 0,5/1/10MG ALESS",51995,7597758000848,2.48,sin_candidato
"BETAMER CREM 0,1% 20G BOOZ",18944,7597072000265,4.31,sin_candidato
BETAMET/CLOTRIM/GENTAM CREM 30G KM,54317,6942189530272,3.97,sin_candidato
"BETAMETASONA/LORAT JBE 0,05/1MG 100ML HM",52422,0736372692269,1.04,score_bajo
"BETAPLUS CREM 0,05% 20G PORTU",50813,7750215001547,2.99,sin_candidato
"BETARRETIN CREM 0,025% 30G MEG",30764,7591619517841,11.95,score_bajo
"BETARRETIN CREM 0,05% 30G MEG",30766,7591619517858,14.42,score_bajo
"BETARRETIN GEL 0,025% 30G MEG",1848,7591619517834,13.38,score_bajo
BETARRETIN H CREM 5% 30G MEG,38981,7591619517865,16.1,score_bajo
BETARRETIN H LOC 5% 60ML MEG,38980,7703333007205,20.52,score_bajo
"BETARRETIN LOC 0,05% 60ML MEG",1847,7703333007007,19.35,score_bajo
"BETASALICIS CREM 0,1%/0,05% 20G BOOZ",20708,7597072001149,4.03,sin_candidato
"BETASKIN CREM TOP 0,05% 15G TIAR",53377,198715246605,2.51,sin_candidato
BETASOL UNG 30G SEF,50804,8906175450003,5.78,sin_candidato
BETAYODINE SOL 10% X100ML LYA,25497,7599028000275,8.45,sin_candidato
BETAYODINE SOL/JAB LYA 10% X 100 ML,28749,7599028000282,8.87,sin_candidato
BEUSAN JBE CEBOLLA MORAD 240ML HERB,16631,7592710001260,5.32,sin_candidato
BEUSAN JBE EXPECTORANTE 240ML HERB,16630,7592710001277,6.07,sin_candidato
BEUSAN JBE PLUS 240ML HERB,16632,7592710001253,6.07,sin_candidato
"BEXADERM CREM 1%/0,01%/0,05% 20G PORTU",50814,7750215015810,3.27,sin_candidato
BICARBONATO D/SOD SOL INY 5% 100ML BHR,4842,7592637000100,11.09,score_bajo
"BICOL COMP REC 160/12,5MG X14 MEY",25232,7592601303626,14.18,sin_candidato
"BICOL COMP REC 80MG/12,5MG X14 MEY",25253,7592601303602,7.45,sin_candidato
"BIOCOR/HTC TAB REC 40MG/12,5MG X30 CLX",17707,7591519316261,19.47,score_bajo
BIODERMA SEBIUM H2O SOL X 100 ML,93732,3401395376935,20.09,sin_candidato
