proveedor,descripcion,codigo,codigo_aux,costo_usd,producto_id_bd,nombre_producto_bd,precio_final_usd,estado,motivo
cobeca,IDOXEN CAP LIB/PRO 75MG X 30,29527,7592803002235,29.23,3024,IDOXEN 75 mg CAPSULAS DE LIBERACION PROLONGADA,48.72,matched,score=0.713
cobeca,IDOXEN CAP LP 150MG X10 DLR,5699,7592803001498,19.31,3025,IDOXEN 150 mg CAPSULAS DE LIBERACION PROLONGADA,32.18,matched,score=0.698
cobeca,ILANA OVU 600MG X1 VIV,90470,7592432011523,7.44,4041,ILANA 600 mg CAPSULA BLANDA VAGINAL,12.4,matched,score=0.669
cobeca,ILTUX COMP 20MG X28 ADIUM,93907,7841141002699,11.32,4406,ILTUX 20 mg COMPRIMIDOS RECUBIERTOS,18.87,matched,score=0.740
cobeca,ILTUX COMP REC 40MG X28 ADIUM,93910,7841141002712,18.04,,,,sin_match,score_bajo
cobeca,IMAZOL CREM 20G MEY,1852,7592601100454,5.18,5848,IMAZOL DUAL 500 mg CAPSULA BLANDA VAGINAL + 1 % CREMA VAGINAL,8.63,matched,score=0.739
cobeca,IMAZOL CREM VAG 1% 50G MEY,11070,7592601100621,7.09,5848,IMAZOL DUAL 500 mg CAPSULA BLANDA VAGINAL + 1 % CREMA VAGINAL,11.82,matched,score=0.631
cobeca,IMAZOL DUAL OVU 500MG X1 + CREM 10G MEY,8397,7592601101055,4.66,5848,IMAZOL DUAL 500 mg CAPSULA BLANDA VAGINAL + 1 % CREMA VAGINAL,7.77,matched,score=0.658
cobeca,IMAZOL OVU VAG 500MG X1 MEY,3419,7592601100737,2.99,,,,sin_match,score_bajo
cobeca,IMAZOL PVO 1% 20G MEY,11072,7592601110590,4.58,7376,IMAZOL 1 % POLVO,7.63,matched,score=0.674
cobeca,IMAZOL SOL 20ML MEY,1853,7592601100461,4.81,2669,IMAZOL 1 % SOLUCION TOPICA ATOMIZADOR,8.02,matched,score=0.707
cobeca,IMAZOL SPRAY 1% 25ML MEY,11071,7592601100447,8.57,,,,sin_match,no farmaco
cobeca,IMAZOL TAB VAG X6 MEY,1854,7592601100478,6.17,,,,sin_match,score_bajo
cobeca,IMLASTIN PVO SOL INY 250MG/250MG ZUZU,51384,7599608003108,11.21,,,,sin_match,sin_candidato
cobeca,IMLASTIN PVO SOL INY 500MG/500MG ZUZU,51385,7599608001531,16.3,,,,sin_match,sin_candidato
cobeca,IMMUNE SUPPORT CAP X60 PREV,52139,7598953000169,19.83,,,,sin_match,sin_candidato
