descripcion,costo_usd,ef,pa_drovencentro,score
FLATVIN CAP BLD 125MG X10 VIN,8.00,E.F.39.967,SIMETICONA,0.842
FLEVOMAX-D COMP REC 600MG X15 FAHD,3.76,E.F.44.069,DIOSMINA 600MG,0.849
FLUCONAZOL SOL INF 200MG/100ML KMP,2.20,E.F.G.43.429,FLUCONAZOL 200MG,0.864
"FULBARYL CAP INH 160MCG/4,5MCG X60 LETI",67.39,E.F.32.076,BUDESONIDA 160MCG + FORMOTEROL 4.5MCG,0.849
FUNGEX CREM 1% X 15G,6.39,E.F.G.37.839,TERBINAFINA CLORHIDRATO 1%,0.833
GABAROL CAP 150MG X20 CAPSUV,13.52,E.F.G.42.570,PREGABALINA 150MG 20CAP,0.838
GAPRIDOL CAP 400MG X15 CR MT,7.00,E.F.35.724,GABAPENTINA 400MG,0.799
GAPTAN TAB 300MG X30 ZORIAK,6.92,E.F.35.723,GABAPENTINA 300MG   30CAP,0.817
GENLET CAP 200MG X 10,10.00,E.F.G.41.029,FLAVOXATO 200MG,0.796
GESTASYN I CAP BLD 100MG X10 TIARES,13.55,E.F.43.614,PROGESTERONA 100MG,0.821
GESTASYN II CAP BLD 200MG X10 TIARES,16.29,E.F.43.613,PROGESTERONA 200MG,0.821
GLAUCOTENSIL D SOL OFT 5ML MEG,13.90,E.F.31.955,DORZOLAMIDA+TIMOLOL,0.808
GLAUCOTENSIL T SOL OFT 5ML MEG,14.68,E.F.31.955,DORZOLAMIDA+TIMOLOL,0.858
GLICLAZ TAB REC 80MG X20 ALESS,4.97,E.F.G.32.507,GLICLAZIDA  80MG,0.827
GLIDEX TAB REC 500MG X30 PLX,7.10,E.F.43.923,METFORMINA 500MG,0.846
GLIDEX TAB REC 850MG X30 PLX,9.30,E.F.43.924,METFORMINA  850MG,0.846
GLUCONATO D/ZINC CAP 170MG X60 HERBAP,11.56,E.F.42.581,GLUCONATO DE ZINC,0.844
GLUTAMINA CAP BLD 500MG X30,8.92,E.F.41.500,L-GLUTAMINA,0.812
GLUTAMINA CAP BLD 500MG X60,12.48,E.F.41.500,L-GLUTAMINA,0.812
GLUTAPAK-10 SOB X 15G,10.47,E.F.41.500,GLUTAMINA,0.782
GYNOMET CREM VAG 15/4% 40G LETI,25.67,E.F.36.249,METRONIDAZOL15% + NITRATO DE MICONAZOL 4%,0.849
HIDROCORTISONA PVO P/SOL 100MG DISTRILAB,3.34,E.F.G.34.920,HIDROCORTISONA,0.856
HIDROCORTISONA SOL IM/IV 100MG X10 ADN,19.58,E.F.G.34.920,HIDROCORTISONA,0.825
HIDROCORTISONA SOL IM/IV 500MG X1 ADN,6.36,E.F.44.584,HIDROCORTISONA 500MG,0.812
IBUFEN COMP REC 800MG X6 FAHD,4.29,E.F.44.135,IBUPROFENO 800MG,0.816
IMOL COMP REC 20MG X30 DLR,7.32,E.F.43.580,OLMESARTAN 20MG 30COMP,0.828
ITISONA CREM 30G PHARME,8.79,E.F.21.014,BETAMETASONA 30G,0.872
IVANOVA TAB 5MG X30 ZORIAK,12.55,E.F.G.44.524,IVABRADINA  5MG,0.798
JARIT CAP BLD 100MG X30 VIV,37.14,E.F.41.832,PROGESTERONA 100MG 30CAPS,0.847
KAZEPINA PVO PED100MG/5ML NAR 60ML ANG/H,3.39,E.F.27.475,CEFIXIMA,0.821
KEPPRA SOL/ORAL 100MG/MG X 300ML,101.18,E.F.37.978,LEVETIRACETAM 100MG/ML,0.887
KETOBLUX AMP 100MG/2ML X10 BLUE/M,25.97,E.F.G.35.019,KETOPROFENO 100MG,0.842
KETOCONAZOL CREM 2% 20G PORTU,2.31,E.F.G.26.276,KETOCONAZOL 2% CR,0.893
KETOCONAZOL CREM TOP 2% 30G TIAR,3.74,E.F.G.26.276,KETOCONAZOL  2%,0.858
"KETOGEL GEL TOP 2,5% 30G TIAR",4.68,E.F.35.431,KETOPROFENO  2%,0.872
KETOMED CHAMPU 100ML MEG,26.62,E.F.28.267,KETOCONAZOL,0.884
KETOPROFENO AMP IV/IM 100MG X10 TIAR,21.26,E.F.G.35.019,KETOPROFENO 100MG,0.833
KETOVEN CREM 2% 30G SGG,8.26,E.F.G.26.276,KETOCONAZOL 2%,0.835
L-CARNITINA TAB X 60 ARC IRIS,16.23,E.F.33.435,L-CARNITINA,0.791
L-GLUTAMINA CAP 500MG X30 VAL,11.06,E.F.41.500,L-GLUTAMINA,0.835
L-GLUTAMINA CAP X60 NAT PREM,7.30,E.F.41.500,L-GLUTAMINA,0.821
LAMICTAL TAB MAST 100 MG X30 FARMA,30.86,E.F.44.412,LAMOTRIGINA 100MG,0.885
LAMICTAL TAB/MAST 50MG X 30,20.06,E.F.44.411,LAMOTRIGINA 50MG,0.837
LEOVAL TAB 500MG X30 FC PHARMA,17.73,E.F.37.979,LEVETIRACETAM 500,0.792
LESTECOL TAB REC 40MG X30 BIOTECH,12.99,E.F.36.952,ATORVASTATINA 40MG,0.843
LETISAN TAB MAST 500MG FRUTAS X10 LETI,4.74,E.F.G.44.099,VITAMINA C,0.817
LETISAN TAB/MAST 500MG UVA X 10,10.59,E.F.G.44.099,VITAMINA C,0.799
LEVOFERIN JBE 30MG/5ML 90ML VIN,9.75,E.F.40.272,LEVODROPROPIZINA 30MG/5ML,0.856
MABROXOL JBE 30MG/5ML 60ML ZUZU,2.65,E.F.G.29.181,AMBROXOL  30MG,0.885
MAGNESIO AMINOQ CAP BLD 200MG X30 G PHAR,12.41,E.F.34.036,MAGNESIO 200MG,0.800
"MANTIXA COMP REC 2,5MG X30 MEG",21.69,E.F.42.025,"APIXABAN 2,5MG 30COMP",0.870
MAXIFUR FORTE CAP 100MG X30 TIAR,8.74,E.F.44.316,NITROFURANTOINA 100MG,0.824
MEDROXEL SOL INY 150MG/1ML JER X1 CCM,11.99,E.F.16.930,MEDROXIPROGESTERONA,0.795
METROVAX CAP BLD 500MG X15 VIV,8.82,E.F.29.532,METRONIDAZOL 500MG,0.806
MINOXIDIL SOL TOP 5% X 60 ML LA SANTE,12.96,E.F.G.43.601,MINOXIDIL 2%,0.826
MIRTAPAX COM 15MG X 10,2.12,E.F.43.794,MIRTAZAPINA 15MG,0.801
MITAR SOL P/INH NASAL X 50MCG,10.74,E.F.41.549,MOMETASONA 50MCG,0.852
"MOMEQ CREM 0,1% 15G PHARME",9.99,E.F.38.201,"MOMETASONA 0,1%",0.915
MONTELUKAST TAB MAST PED 5MG X30 L.O,7.44,E.F.G.43.010,MONTELUKAST 5MG,0.817
MONTELUKAST TAB REC 10MG X10 L.O,4.08,E.F.G.33.690,MONTELUKAST 10MG  10TAB,0.830
