producto_id,nombre_comercial,foto_url,score,desc_cobeca
37426,"AMLODIPINA 5 mg X 30 COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9206.jpg",0.915,"AMLODIPINA COMP 5MG X30 LETI"
37384,"ALBENDAZOL 200 mg X 6 COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1526.jpg",0.917,"ALBENDAZOL TAB 200MG X6 PHARME"
39363,"SILDENAFIL 50 mg X 2 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/8404.jpg",0.875,"SILDENAFIL TAB 50MG X2 MEY"
38504,"MONTELUKAST 10 mg X 10 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/18804.jpg",0.875,"MONTELUKAST TAB REC 10MG X10 PHARME"
38870,"TIOCOLCHICOSIDO 4 mg / 2 mL X 2 AMPOLLAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20405.jpg",0.691,"TIOCOLCHICOSIDO AMP IMP 4MG/2ML X2 ALESS"
38860,"TIDOR 2 % - 0,5 % SOLUCION OFTALMICA","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25402.jpg",0.602,"TIDOR SOL OFT 2%/0,5% 5ML PHARME"
38122,"FLUDIL 10 mg X 20 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1790.jpg",0.704,"FLUDIL TAB 10MG X20 PHARME"
39095,"BETADERM CON GENTAMICINA 0,1 % - 0,1 % X 1 CREMA","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7662.jpg",0.739,"GENTAMICINA CREM 1% 15G PHARME"
38614,"OMMUNAL (LISADO BACTERIANO) 7 mg X 10 CAPSULAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/6053.jpg",0.868,"OMMUNAL CAP 7MG X10 LETI"
37569,"BETAGEN 12 mg / 3 mL X 1 AMPOLLAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13138.jpg",0.769,"BETAGEN SOL INY 12MG/3ML X1 BIOTECH"
37834,"COLYPAN 200 mg X 10 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/16762.jpg",0.905,"COLYPAN TAB 200MG X10 FAR"
39184,"DICLOFENAC POTASICO 50 mg X 30 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13815.jpg",0.746,"DICLOFENAC POTA COMP 50MG X30 LETI"
39563,"PEPSADEL 262 mg X 12 TABLETAS MASTICABLES","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26892.jpg",0.853,"PEPSADEL TAB MAST 262MG X12 DISK"
38450,"DIPIRONA 1 g / 2 mL X 3 AMPOLLAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29164.jpg",0.799,"METAMIZOL/DIPIRONA AMP 1G/2ML X 3"
37712,"CEFIXIMA 400 mg X 5 CAPSULAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29896.jpg",0.931,"CEFIXIMA CAP 400MG X5 LETI"
38868,"TIOCOLCHICOSIDO 4 mg / 2 mL X 1 AMPOLLAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51472.jpg",0.885,"TIOCOLCHICOSIDO AMP 4MG/2ML X1 CR GM"
39168,"CURPINOL 25 mg COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/92398.jpg",0.750,"CURPINOL COMP 25MG X30 MEG"
39316,"NEFROTAL H 100 mg - 12,5 mg COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25632.jpg",0.737,"NEFROTAL H COMP 100/12,5MG X10 MEG"
37520,"ATORVASTATINA 40 mg X 30 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98292.jpg",0.913,"ATORVASTATINA COMP 40MG X30 LETI"
38005,"ENALAPRIL 20 mg X 30 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99636.jpg",0.913,"ENALAPRIL TAB 20MG X30 CLX"
38247,"INIBIL 40 mg X 14 COMPRIMIDOS CON CUBIERTA ENTERICA","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13661.jpg",0.655,"INIBIL COMP 40MG X14 DLR"
38780,"SERTRALINA 50 mg X 30 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25669.jpg",0.875,"SERTRALINA TAB 50MG X30 CLEO"
37875,"DEFLAZACORT 6 mg X 30 COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52860.jpg",0.904,"DEFLAZACORT TAB 6MG X30 CR BEL"
38028,"ESOCOF 10 mg X 30 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54292.jpg",0.712,"ESOCOF TAB REC 10MG X30 COFA"
37959,"DIPLOZ 1 mg X 30 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22057.jpg",0.868,"DIPLOZ TAB 1MG X30 CLX"
37504,"ASPRINIL 81 mg X 40 TABLETAS CON RECUBRIMIENTO ENTERICO","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53383.jpg",0.882,"ASPRINIL TAB REC 81MG X40 BIOT"
37565,"BEPRODERM 0,05 % - 0,1 % CREMA","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/94044.jpg",0.706,"BEPRODERM CREM 0,05%/0,1% 15G BIOTECH"
38574,"NORSINA 500 mg - 10 mg X 12 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97499.jpg",0.745,"NORSINA TAB 500MG/10MG X12 BIOT"
37640,"VITAMINA C - ZINC 500 mg - 15 mg X 10 TABLETAS MASTICABLES SABOR A MANDARINA","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/52152.jpg",0.781,"VIT C/ZINC TAB MAST 500/15MG X10 PHARME"
39324,"OLMESARTAN MEDOXOMIL 20 mg COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25976.jpg",0.824,"OLMESARTAN MEDOXOM COMP REC 20MGX14 LETI"
38003,"ENALAPRIL MALEATO 10 mg X 30 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26952.jpg",0.882,"ENALAPRIL TAB 10MG X30 PLX"
37691,"CARVEDILOL 12,5 mg X 30 COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/24421.jpg",0.846,"CARVEDILOL TAB 12,5MG X30 CR DIST"
38976,"VIZERUL 75 mg X 10 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/111.jpg",0.829,"VIZERUL COMP 75MG X10 DLR"
38537,"NEFROTAL H 50 mg - 12,5 mg X 14 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1511.jpg",0.712,"NEFROTAL H COMP 50MG/12,5 X14 MEG"
39256,"IMAZOL 1 % SOLUCION","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1852.jpg",0.674,"IMAZOL CREM 20G MEY"
37318,"ACETAMINOFEN 500 mg X 10 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2337.jpg",0.931,"ACETAMINOFEN TAB 500MG X10 CLX"
37989,"DUROVAL 50 mg X 1 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2798.jpg",0.882,"DUROVAL TAB 50MG X1 VLM"
38100,"FLAVOL 300 mg X 20 CAPSULAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/4190.jpg",0.853,"FLAVOL CAP 300MG X20 RNV"
38140,"FUROSEMIDA 20 mg X 12 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5054.jpg",0.875,"FUROSEMIDA TAB 20MG X12 MEY"
38383,"LORATADINA 10 mg X 10 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/9653.jpg",0.913,"LORATADINA TAB 10MG X10 CLX"
37545,"AZITROMICINA 500mg X 3 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11009.jpg",0.962,"AZITROMICINA TAB 500MG X3 CLX"
37342,"ACICLOVIR 200 mg X 25 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11560.jpg",0.931,"ACICLOVIR TAB 200MG X25 CLX"
38290,"KETOPROFENO 100 mg X 10 CAPSULAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21061.jpg",0.931,"KETOPROFENO CAP 100MG X10 CLX"
37805,"CLOPIDOGREL 75 mg X 30 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/22848.jpg",0.833,"CLOPIDOGREL TAB 75MG X30 ALESS"
38378,"LOPERAMIDA 2 mg X 10 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53152.jpg",0.904,"LOPERAMIDA TAB 2MG X10 BIOQ"
38696,"PREGALIS 75MG X 30 CAPSULAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51773.jpg",0.899,"PREGABALINA CAP 75MG X30 FMED"
37879,"DEPOFEM 150mgmL X 1 AMPOLLAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/28729.jpg",0.648,"DEPOFEM SOL/INY 150MG X 1"
38208,"IBUCOLVAL 600 mg - 4 mg X 10 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50513.jpg",0.800,"IBUCOLVAL TAB 600MG/4MG X 10"
38499,"MIRTAZAPINA 30 mg X 30 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51322.jpg",0.875,"MIRTAZAPINA TAB 30MG X30 CLX"
38347,"LEVOSULPIRIDA 25 mg X 30 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53039.jpg",0.913,"LEVOSULPIRIDA TAB 25MG X30 CLX"
39162,"COROPRES 16 mg COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98453.jpg",0.653,"COROPRES COMP 16MG X30 MEG"
38048,"ESQUIDONE 1 mg/mL X 30 SOLUCIÓN ORAL","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/98679.jpg",0.677,"ESQUIDONE TAB REC 1MG X30 VLM"
38615,"ONDANSETRON 4 mg X 10 COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/1107.jpg",0.942,"ONDANSETRON COMP 4MG X10 MEG"
38900,"ULCENOL 20 mg X 10 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2298.jpg",0.630,"ULCENOL TAB 20MG X10"
38679,"PRAXONA 150 mg X 10 COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/2991.jpg",0.818,"PRAXONA TAB X10 MEG"
38492,"MIOVIT COMPOSITUM CON LIDOCAINA X 3 AMPOLLAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/5514.jpg",0.737,"MIOVIT AMP 3ML X3 COFA"
38279,"KETAZOL 2 % CHAMPU","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/7281.jpg",0.639,"KETAZOL CHAMPU 60ML VARG"
37309,"ACETAMINOFEN 650mg X 10 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/11552.jpg",0.962,"ACETAMINOFEN TAB 650MG X10 PHARME"
38246,"INIBIL 20 mg X 14 COMPRIMIDOS CON CUBIERTA ENTERICA","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/13662.jpg",0.655,"INIBIL COMP 20MG X14 DLR"
39290,"LOSARTAN POTASICO 100 mg X 10 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23432.jpg",0.796,"LOSARTAN POTA COMP REC 100MG X10 VARG"
38813,"SULIXTRA DUO 0,4 mg - 0,5 mg X 30 CAPSULAS DE LIBERACION PROLONGADA","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21024.jpg",0.825,"SULIXTRA DUO CAP LP 0,4MG/0,5MG X30 FC"
38811,"SULIXTRA 0,4 mg X 30 CAPSULAS DE LIBERACION PROLONGADA","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/21026.jpg",0.714,"SULIXTRA CAP LP 0,4MG X30 FC"
37902,"DEXAMETASONA FOSFATO SODICO 8 mg / 2 mL SOLUCION INYECTABLE","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53308.jpg",0.783,"DEXAMETASONA FOSF SOL INY 8MG/2ML X1 VLM"
38844,"TAMSULOSINA CLORHIDRATO 0,4 mg X 30 CAPSULAS DE LIBERACION PROLONGADA","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/23537.jpg",0.623,"TAMSULOSINA CLORH TAB 0,4MG X30 BLUE/M"
37674,"CARBAMAZEPINA 200 mg X 30 COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99338.jpg",0.931,"CARBAMAZEPINA COMP 200MG X30 LETI"
39405,"VALSARTAN 80 mg COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29789.jpg",0.902,"VALSARTAN COMP/REC 80MG X 30 VARGAS"
39164,"COVENTROL 12,5 mg COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/25529.jpg",0.772,"CARVEDILOL COMP 12,5MG X15 LETI"
38334,"LEVOFLOXACINA 500 mg X 10 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/26132.jpg",0.872,"LEVOFLOXACINA TAB REC 500MG X10 BIU"
38864,"TINIDAZOL 500 mg X 4 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29067.jpg",0.931,"TINIDAZOL TAB/REC 500MG X 4 PLX"
38105,"FLEMIBAR 20 mg - 2500 mg / 5 mL X 3 AMPOLLAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/29271.jpg",0.931,"FLEMIBAR AMP 20MG/2500MG/5ML X 3"
