ef,mol_inhrr,mol_cima,score
E.F.27.764,VITAMINA D3,Vitamina D3,1.0
E.F.27.764,VITAMINA B12,Vitamina B12,1.0
E.F.27.772,AMLODIPINA,Amlodipino,0.9
E.F.27.777,CEFIXIMA,Cefixima,1.0
E.F.27.807,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.27.807,NIACINAMIDA,Niacinamida,1.0
E.F.27.813,FUROSEMIDA,Furosemida,1.0
E.F.27.816,CEFADROXILO,Cefadroxilo,1.0
E.F.27.906,HIDROXICLOROQUINA,Hidroxicloroquina,1.0
E.F.27.907,AZITROMICINA,Azitromicina,1.0
E.F.27.924,CLORHIDRATO DE CICLOPENTOLATO,Ciclopentolato,1.0
E.F.27.948,CICLOSPORINA,Ciclosporina,1.0
E.F.27.949,CICLOSPORINA,Ciclosporina,1.0
E.F.27.950,CICLOSPORINA,Ciclosporina,1.0
E.F.28.025,TOBRAMICINA SULFATO,Tobramicina,1.0
E.F.28.027,SERTACONAZOL,Sertaconazol,1.0
E.F.28.035,RANITIDINA,Ranitidina,1.0
E.F.28.068,FLUCONAZOL,Fluconazol,1.0
E.F.28.082,FENOBARBITAL,Fenobarbital,1.0
E.F.28.086,KETOTIFENO,Ketotifeno,1.0
E.F.28.095,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.28.129,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.28.133,PROGESTERONA,Progesterona,1.0
E.F.28.142,ACIDO FOLICO,Folico Acido,1.0
E.F.28.152,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1.0
E.F.28.152,TOBRAMICINA SULFATO,Tobramicina,1.0
E.F.28.167,FAMOTIDINA,Famotidina,1.0
E.F.28.177,HIDROCORTISONA,Hidrocortisona,1.0
E.F.28.187,APRACLONIDINA,Apraclonidina,1.0
E.F.28.208,CLARITROMICINA,Claritromicina,1.0
E.F.28.214,BETAMETASONA DIPROPIONATO,Betametasona Dipropionato,1.0
E.F.28.216,ACETAMINOFEN,Acetaminofen,1.0
E.F.28.223,ACETAMINOFEN,Acetaminofen,1.0
E.F.28.223,CAFEINA,Cafeina,1.0
E.F.28.232,CAFEINA,Cafeina,1.0
E.F.28.232,ACETAMINOFEN,Acetaminofen,1.0
E.F.28.233,CAFEINA,Cafeina,1.0
E.F.28.233,ACETAMINOFEN,Acetaminofen,1.0
E.F.28.238,CLARITROMICINA,Claritromicina,1.0
E.F.28.252,FLUTICASONA PROPIONATO,Fluticasona Propionato,1.0
E.F.28.255,FLUTICASONA PROPIONATO,Fluticasona Propionato,1.0
E.F.28.265,CLORURO DE BENZALCONIO,Benzalconio Cloruro,1.0
E.F.28.267,KETOCONAZOL,Ketoconazol,1.0
E.F.28.268,TRETINOINA,Tretinoina,1.0
E.F.28.274,CETIRIZINA,Cetirizina,1.0
E.F.28.278,TRETINOINA,Tretinoina,1.0
E.F.28.312,ALBENDAZOL,Albendazol,1.0
E.F.28.326,FLUNARIZINA,Flunarizina,1.0
E.F.28.346,LEVOCETIRIZINA DICLORHIDRATO,Levocetirizina,1.0
E.F.28.366,TRETINOINA,Tretinoina,1.0
E.F.28.367,TRETINOINA,Tretinoina,1.0
E.F.28.368,TRETINOINA,Tretinoina,1.0
E.F.28.380,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1.0
E.F.28.389,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.28.391,DEXCLORFENIRAMINA,Dexclorfeniramina,1.0
E.F.28.391,CAFEINA,Cafeina,1.0
E.F.28.391,ACETAMINOFEN,Acetaminofen,1.0
E.F.28.393,CEFADROXILO,Cefadroxilo,1.0
E.F.28.398,BROMURO DE IPRATROPIO,Bromuro De Ipratropio Monohidratado,1.0
E.F.28.401,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.28.425,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.28.426,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.28.437,LACTULOSA,Lactulosa,1.0
E.F.28.482,CLORURO DE SODIO,Calcio Cloruro,1.0
