nombre,nombre_generico_en,sinonimos,descripcion,atc_codigo
Bordetella Pertussis Pertactina,Bordetella Pertussis,,,
Bordetella Pertussis Pertactina (prot.memb.externa 69kd),"Bordetella Pertussis Pertactin Vaccine, Inactivated",,,
Bordetella Pertussis Proteina Meb Externa 69kd,Pertussis Vaccine,,,
Bordetella Pertussis Toxoide,"Bordetella Pertussis Toxoid Vaccine, Inactivated",,,
Bosentan,Bosentan,,,
Bosentan Monohidrato,Bosentan Monohydrate,,,
Bosutinib Dihidrato,Bosutinib,,,
Bosutinib Monohidrato,Bosutinib Monohydrate,,,
B-piridin-carboxilico,Vitamin B12,,,
Brea Hulla,,,,
Brea Mineral,,,,
Brentuximab Vedotina,Brentuximab Vedotin,,,
Bretovameran,,,,
Brexpiprazol,Brexpiprazole,,,
Brexucabtagen Autoleucel,Brexucabtagene Autoleucel,,,
Brigatinib,Brigatinib,,,
Brimonidina,Brimonidine,,,
Brimonidina Tartrato,Brimonidine,,,
Brinzolamida,Brinzolamide,,,
Brivaracetam,Brivaracetam,,,
Brivudina,Brivudine,,,
Brodalumab,Brodalumab,,,
Brolucizumab,Brolucizumab,,,
Bromazepam,Bromazepam,,,
Bromfenaco,Bromfenac,,,
Bromfenaco Sodico,Bromfenac,,,
Bromfenaco Sodico Sesquihidrato,Bromfenac,,,
Bromfeniramina,Brompheniramine,,,
Bromfeniramina Maleato,Brompheniramine,,,
Bromhexina,Bromhexine,,,
Bromhexina Hidrocloruro,Bromhexine,,,
Bromocriptina,Bromocriptine,,,
Bromocriptina Mesilato,Bromocriptine,,,
Bromofeniramina,Brompheniramine,,,
Bromovinildesoxiuridina,,,,
Bromprofenpiridamina,,,,
Bromuro De Ipratropio Monohidratado,Ipratropium Bromide,,,
Brotizolam,Brotizolam,,,
Brovanexina,Brovanexine,,,
Brovanexina Hidrocloruro,Brovanexine,,,
Budesonida,Budesonide,,,
Bulevirtida,Bulevirtide,,,
Bulevirtida Acetato,Bulevirtide Acetate,,,
Bumetanida,Bumetanide,,,
Bupivacaina,Bupivacaine,,,
Bupivacaina Hidrocloruro,Bupivacaine,,,
Buprenorfina,Buprenorphine,,,
Buprenorfina Hidrocloruro,Buprenorphine,,,
Burosumab,Burosumab,,,
Buserelina,Buserelin,,,
Buserelina Acetato,Buserelin,,,
Busulfano,Busulfan,,,
Butilescopolamina Bromuro,Butylscopolamine,,,
Butilparaben,Butylparaben,,,
Cabazitaxel,Cabazitaxel,,,
Cabazitaxel 2-propanol Solvato,Isopropyl Alcohol,,,
Cabergolina,Cabergoline,,,
Cabotegravir,Cabotegravir,,,
Cabotegravir Sodio,Cabotegravir,,,
Cabozantinib,Cabozantinib,,,
Cabozantinib Maleato,Cabozantinib,,,
Cacahuete,,,,
"Cacahuete Polvo Desengrasado, Semillas",Bismuth Subsalicylate 262 Mg Powder For Oral Suspension [estomaquil],,,
Cafeina,Caffeine,,,
Cafeina Anhidra,Caffeine,,,
Cafeina Citrato,Caffeine,,,
Cajeputol,Eucalyptol,,,
Calcifediol,Calcifediol,,,
Calcifediol Monohidrato,Calcifediol,,,
Calciferol,Vitamin D,,,
Calcio,Calcium,,,
Calcio Carbonato,Calcium Carbonate,,,
Calcio Cloruro,Calcium Chloride,,,
Calcio Cloruro Anhidro,Calcium Chloride,,,
Calcio Cloruro Dihidrato,Calcium Chloride,,,
Calcio Fosfato,Calcium Phosphate,,,
Calcipotriol,Calcipotriene,,,
Calcipotriol Monohidrato,Calcipotriene Hydrate,,,
Calcitonina,Calcitonin,,,
Calcitonina Salmon Sintetica,Salmon Calcitonin,,,
Calcitriol,Calcitriol,,,
Camelia Thea Link,,,,
Camellia Sinensis,Camellia Sinensis Whole Extract,,,
Camomila,Chamomile Extract,,,
Canagliflozina,Canagliflozin,,,
Canagliflozina Monohidrato,Canagliflozin,,,
Canakinumab,Canakinumab,,,
Candesartan,Candesartan,,,
Candesartan Cilexetilo,Candesartan Cilexetil,,,
Canela,,,,
Cangrelor,Cangrelor,,,
Cannabidiol,Cannabidiol,,,
Cannabidiol (psicotropo),Cannabidiol,,,
Capecitabina,Capecitabine,,,
Capivasertib,Capivasertib,,,
Caplacizumab,Caplacizumab,,,
Capmatinib,Capmatinib,,,
Capmatinib Dihidrocloruro Monohidrato,Capmatinib,,,
Capreomicina,Capreomycin,,,
Capreomicina Sulfato,Capreomycin,,,
Capsaicina,Capsaicin,,,
Capsicum,Capsicum Extract,,,
Capsicum Oleorresina,Capsicum Oleoresin,,,
Captopril,Captopril,,,
Carbamazepina,Carbamazepine,,,
Carbamida,Urea,,,
Carbenoxolona,Carbenoxolone,,,
Carbetapentano,Carbetapentane,,,
Carbetocina,,,,
Carbidopa,Carbidopa,,,
Carbidopa Monohidrato,Carbidopa,,,
Carbimazol,Carbimazole,,,
Carbocisteina,Carbocysteine,,,
Carbocisteina Lisina,Carbocysteine,,,
Carbolico Acido,Iocetamic Acid,,,
Carbomero,Carbomer,,,
Carbon Activo,Activated Charcoal,,,
Carbon Adsorbente,Ammonium Carbonate,,,
